Adress,Price,URL
"One Henry Adams, 1 Henry Adams St #S428, San Francisco, CA 94103","$2,987/mo",https://www.zillow.com/apartments/san-francisco-ca/one-henry-adams/9NJvHk/
"Geary Courtyard | 639 Geary St, San Francisco, CA","$2,209+ 1 bd",https://www.zillow.com/apartments/san-francisco-ca/geary-courtyard/5XjRSd/
"Geary Courtyard | 639 Geary St, San Francisco, CA","$2,209+ 1 bd",https://www.zillow.com/apartments/san-francisco-ca/geary-courtyard/5XjRSd/
"Parkmerced | 3711 19th Ave, San Francisco, CA","$2,475+ 1 bd",https://www.zillow.com/apartments/san-francisco-ca/parkmerced/5XjKHx/
"Vara | 1600 15th St, San Francisco, CA","$2,618+ 1 bd",https://www.zillow.com/apartments/san-francisco-ca/vara/5XrPmJ/
"747 Geary Street, 747 Geary St, San Francisco, CA 94109","$2,895+/mo",https://www.zillow.com/apartments/san-francisco-ca/747-geary-street/9NKJ3J/
"Avalon Sunset Towers | 8 Locksley Ave, San Francisco, CA","$2,870+ 1 bd",https://www.zillow.com/b/avalon-sunset-towers-san-francisco-ca-5XjLKv/
"The Landing | 1395 22nd St, San Francisco, CA","$2,859+ 1 bd",https://www.zillow.com/apartments/san-francisco-ca/the-landing/9NK3gC/
"NorthPoint Apartments, 2211 Stockton St, San Francisco, CA 94133","$2,810+/mo",https://www.zillow.com/apartments/san-francisco-ca/northpoint-apartments/5XjLPJ/
"828 Franklin, 828 Franklin St #606, San Francisco, CA 94102","$2,395/mo",https://www.zillow.com/apartments/san-francisco-ca/828-franklin/5XkH2V/
"840 Van Ness, 840 Van Ness Ave APT 302, San Francisco, CA 94109","$2,495/mo",https://www.zillow.com/apartments/san-francisco-ca/840-van-ness/5YCwMj/
"125-135 Gardenside, 125 Gardenside Dr, San Francisco, CA 94114","$2,595+/mo",https://www.zillow.com/apartments/san-francisco-ca/125.dash.135-gardenside/BjFbbM/
"Hanover Soma West | 1140 Harrison St, San Francisco, CA","$2,687+ 1 bd",https://www.zillow.com/apartments/san-francisco-ca/hanover-soma-west/9NJsx9/
"Marina Cove Apartments, 1550 Bay St APT B225, San Francisco, CA 94123","$2,999/mo",https://www.zillow.com/apartments/san-francisco-ca/marina-cove-apartments/5XjRBB/
"50 Jones | 50 Jones St, San Francisco, CA","$2,317+ 1 bd",https://www.zillow.com/apartments/san-francisco-ca/50-jones/Bntcg2/
"Slate Residences, 911 Bryant St #102, San Francisco, CA 94103","$2,704/mo",https://www.zillow.com/apartments/san-francisco-ca/slate-residences/9NJxjf/
"Slate Residences, 911 Bryant St #102, San Francisco, CA 94103","$2,704/mo",https://www.zillow.com/apartments/san-francisco-ca/slate-residences/9NJxjf/
"Slate Residences, 911 Bryant St #102, San Francisco, CA 94103","$2,704/mo",https://www.zillow.com/apartments/san-francisco-ca/slate-residences/9NJxjf/
"Slate Residences, 911 Bryant St #102, San Francisco, CA 94103","$2,704/mo",https://www.zillow.com/apartments/san-francisco-ca/slate-residences/9NJxjf/
"Slate Residences, 911 Bryant St #102, San Francisco, CA 94103","$2,704/mo",https://www.zillow.com/apartments/san-francisco-ca/slate-residences/9NJxjf/
"923 Folsom | 923 Folsom St, San Francisco, CA","$2,390+ 1 bd",https://www.zillow.com/apartments/san-francisco-ca/923-folsom/5Yy6Np/
"923 Folsom | 923 Folsom St, San Francisco, CA","$2,390+ 1 bd",https://www.zillow.com/apartments/san-francisco-ca/923-folsom/5Yy6Np/
"Nob Hill Place, 1155 Jones St APT 208, San Francisco, CA 94109","$2,950/mo",https://www.zillow.com/apartments/san-francisco-ca/nob-hill-place/5XkKgw/
"Loft 168, 168 Bluxome St, San Francisco, CA 94107","$2,800+/mo",https://www.zillow.com/apartments/san-francisco-ca/loft-168/9NK42M/
"Edgewater | 355 Berry St, San Francisco, CA","$2,863+ 1 bd",https://www.zillow.com/apartments/san-francisco-ca/edgewater/5XjVQc/
"Soma at 788 | 788 Harrison St, San Francisco, CA","$2,882+ 1 bd",https://www.zillow.com/apartments/san-francisco-ca/soma-at-788/5XkGzw/
"Mosser Towers Apartments, 455 Eddy St APT E1102, San Francisco, CA 94102","$2,295/mo",https://www.zillow.com/apartments/san-francisco-ca/mosser-towers-apartments/9NJr4f/
